Birthday,25,2017-10-14,3,Completed,Spring Delight,45.5,BalancePayment, , , , 
Birthday,25,2017-10-14,3,Completed,Spring Delight,45.5,Cash, , , , 
Birthday,26,2017-10-12,3,Completed,Spring Delight,45.5,Cash, , , , 
Birthday,26,2017-10-12,3,Completed,Spring Delight,45.5,BalancePayment, , , , 
Birthday,19,2017-11-09,3,Completed,Spring Delight,45.5,Cash,9,Haifa,035235235,Yossi
Exotic,25,2017-10-14,2,Completed,Van Gogh,47.0,BalancePayment, , , , 
Exotic,18,2017-10-15,2,Canceled,Van Gogh,47.0,Cash,8,Tiberias,045235352,Dana
Exotic,27,2017-11-25,2,Completed,Van Gogh,47.0,Cash, , , , 
Exotic,26,2017-10-12,2,Completed,Van Gogh,47.0,Cash, , , , 
Exotic,26,2017-10-12,2,Completed,Van Gogh,47.0,BalancePayment, , , , 
Exotic,25,2017-10-14,2,Completed,Van Gogh,47.0,Cash, , , , 
Exotic,19,2017-11-09,2,Completed,Van Gogh,47.0,Cash,9,Haifa,035235235,Yossi
Wedding,18,2017-10-15,1,Canceled,Ruby Red,22.5,Cash,8,Tiberias,045235352,Dana
Wedding,26,2017-10-12,1,Completed,Ruby Red,22.5,Cash, , , , 
Wedding,26,2017-10-12,1,Completed,Ruby Red,22.5,BalancePayment, , , , 
Wedding,18,2017-10-15,73,Canceled,Custom Product,105.0,Cash,8,Tiberias,045235352,Dana
