Birthday,24,2017-10-26,3,Canceled,Spring Delight,45.5,BalancePayment,12,Haifa,042352344,Yoni
Birthday,24,2017-10-26,3,Canceled,Spring Delight,45.5,CreditCard,12,Haifa,042352344,Yoni
Birthday,22,2017-11-26,3,Completed,Spring Delight,45.5,Cash, , , , 
Birthday,21,2017-11-18,3,Completed,Spring Delight,45.5,BalancePayment,10,Carmiel,042362363,Or
Birthday,21,2017-11-18,3,Completed,Spring Delight,45.5,CreditCard,10,Carmiel,042362363,Or
Birthday,17,2017-10-26,3,Completed,Spring Delight,45.5,CreditCard, , , , 
Birthday,23,2017-11-29,3,Completed,Spring Delight,45.5,Cash,11,Tiberias,032323633,Tzach
Exotic,17,2017-10-26,2,Completed,Van Gogh,47.0,CreditCard, , , , 
Exotic,24,2017-10-26,78,Canceled,Custom Product,11.25,BalancePayment,12,Haifa,042352344,Yoni
Exotic,22,2017-11-26,2,Completed,Van Gogh,47.0,Cash, , , , 
Exotic,24,2017-10-26,78,Canceled,Custom Product,11.25,CreditCard,12,Haifa,042352344,Yoni
Exotic,21,2017-11-18,2,Completed,Van Gogh,47.0,BalancePayment,10,Carmiel,042362363,Or
Exotic,21,2017-11-18,2,Completed,Van Gogh,47.0,CreditCard,10,Carmiel,042362363,Or
Exotic,28,2017-12-27,2,Completed,Van Gogh,47.0,BalancePayment,13,Tiberias,0503236033,Dan
Exotic,28,2017-12-27,2,Completed,Van Gogh,47.0,Cash,13,Tiberias,0503236033,Dan
Flower Arrangement,23,2017-11-29,4,Completed,Flaming Heart,44.5,Cash,11,Tiberias,032323633,Tzach
Flowering Plant,28,2017-12-27,5,Completed,Blooming Summer,35.99,Cash,13,Tiberias,0503236033,Dan
Flowering Plant,28,2017-12-27,79,Completed,Custom Product,30.0,BalancePayment,13,Tiberias,0503236033,Dan
Flowering Plant,28,2017-12-27,79,Completed,Custom Product,30.0,Cash,13,Tiberias,0503236033,Dan
Flowering Plant,28,2017-12-27,5,Completed,Blooming Summer,35.99,BalancePayment,13,Tiberias,0503236033,Dan
Wedding,23,2017-11-29,76,Completed,Custom Product,22.5,Cash,11,Tiberias,032323633,Tzach
Wedding,22,2017-11-26,75,Completed,Custom Product,20.0,Cash, , , , 
Wedding,21,2017-11-18,74,Completed,Custom Product,10.0,BalancePayment,10,Carmiel,042362363,Or
Wedding,21,2017-11-18,74,Completed,Custom Product,10.0,CreditCard,10,Carmiel,042362363,Or
Wedding,17,2017-10-26,1,Completed,Ruby Red,22.5,CreditCard, , , , 
